time,iv_30
2020-11-27,0.0000
2020-06-03,25.0767
2020-06-17,31.2881
2020-08-12,32.1078
2020-01-22,27.9757
2020-08-06,33.7676
2020-04-06,36.8379
2020-03-27,50.6389
2020-03-26,48.7407
2020-04-13,42.5499
2020-04-07,37.8044
2020-01-23,27.0243
2020-08-07,34.9970
2020-08-13,34.1598
2020-06-16,30.7391
2020-06-02,25.9360
2020-11-18,32.8239
2020-11-30,31.2156
2020-11-24,29.9201
2020-01-09,27.7316
2020-08-05,34.8714
2020-01-21,28.1965
2020-08-11,35.0007
2020-03-18,62.0002
2020-03-24,48.8696
2020-03-30,45.9420
2020-03-31,44.1339
2020-03-25,52.9528
2020-03-19,56.9276
2020-08-10,35.1087
2020-06-29,40.2515
2020-08-04,35.1280
2020-01-08,28.4104
2020-06-01,26.7000
2020-06-15,32.7501
2020-11-25,30.2842
2020-11-19,32.4424
2020-11-09,36.4827
2020-01-24,26.8781
2020-08-14,31.9721
2020-01-30,26.6934
2020-06-11,37.4223
2020-08-28,40.1597
2020-06-05,24.0766
2020-04-28,43.8983
2020-04-14,45.1349
2020-03-09,50.0880
2020-04-01,46.7215
2020-04-15,47.1903
2020-04-29,43.9607
2020-03-20,54.6944
2020-06-04,26.0370
2020-06-10,29.4703
2020-01-31,25.2685
2020-11-20,31.9025
2020-08-17,32.0679
2020-08-03,34.8664
2020-01-27,28.8432
2020-06-12,32.8560
2020-04-03,41.7691
2020-04-17,53.8399
2020-04-16,54.2966
2020-04-02,42.8052
2020-03-23,51.5214
2020-11-23,30.8770
2020-02-04,22.7728
2020-05-19,28.2106
2020-02-10,25.2077
2020-12-15,32.6345
2020-12-01,30.9514
2020-12-29,34.7239
2020-07-08,46.3654
2020-09-25,46.8804
2020-07-20,54.6090
2020-07-21,52.3335
2020-09-18,43.3585
2020-09-30,47.4765
2020-09-24,48.4044
2020-07-09,51.4452
2020-10-05,52.6475
2020-12-28,34.8567
2020-12-14,33.3779
2020-05-18,26.6004
2020-02-11,26.9115
2020-02-05,23.1198
2020-02-13,24.1382
2020-02-07,23.8330
2020-05-26,27.9012
2020-12-02,31.0559
2020-12-16,32.6300
2020-10-07,51.6700
2020-10-13,48.5948
2020-07-23,49.6820
2020-07-22,50.5772
2020-10-12,49.0741
2020-10-06,54.0525
2020-12-17,0.0000
2020-12-03,30.7596
2020-05-27,27.7848
2020-02-06,21.8270
2020-02-12,24.8652
2020-12-07,31.4004
2020-10-02,52.1217
2020-10-16,58.9524
2020-09-23,47.9869
2020-09-22,46.0501
2020-07-27,46.3021
2020-02-03,23.9317
2020-05-22,27.6432
2020-05-20,28.8370
2020-05-08,26.6886
2020-12-10,32.9685
2020-12-04,29.9767
2020-10-29,49.0450
2020-10-15,52.9972
2020-10-01,49.6185
2020-07-31,35.2086
2020-09-08,50.1832
2020-09-21,45.0703
2020-09-09,42.6479
2020-07-24,48.7034
2020-07-30,43.5244
2020-10-14,52.0003
2020-10-28,53.6877
2020-12-11,33.1989
2020-02-14,22.0532
2020-02-28,44.3697
2020-05-21,29.7501
2020-02-25,33.4017
2020-02-19,22.0996
2020-05-04,34.7314
2020-12-08,31.9948
2020-10-19,54.3736
2020-07-29,43.9256
2020-09-04,48.8003
2020-09-10,43.9978
2020-07-15,57.4307
2020-07-01,39.7312
2020-07-14,63.0306
2020-09-11,40.5228
2020-07-28,46.0562
2020-10-30,46.8933
2020-12-09,33.4142
2020-12-21,31.4551
2020-05-05,31.8141
2020-02-18,23.0980
2020-05-11,27.7644
2020-02-24,30.5315
2020-02-26,32.1796
2020-05-07,30.2176
2020-05-13,30.9563
2020-12-23,29.8523
2020-10-26,53.2435
2020-07-02,39.1253
2020-07-16,56.8476
2020-07-17,52.5991
2020-10-27,50.0096
2020-12-22,31.0693
2020-05-12,29.0628
2020-05-06,31.9707
2020-02-27,41.8025
2020-10-23,49.9384
2020-07-07,45.8308
2020-07-13,60.2499
2020-09-16,43.3587
2020-09-02,42.7594
2020-09-03,49.9663
2021-01-04,40.8158
2020-09-17,43.6469
2020-07-06,43.7820
2020-10-22,50.1087
2020-05-15,27.5462
2020-05-01,36.5284
2020-05-29,26.3034
2020-02-20,22.5506
2020-12-31,35.2890
2020-10-08,50.5203
2020-10-20,54.3051
2020-07-10,52.3267
2020-09-29,47.7541
2020-09-01,39.8394
2020-09-15,41.0451
2020-09-14,41.7454
2020-09-28,47.6390
2020-10-21,52.3488
2020-10-09,47.5449
2020-12-24,0.0000
2020-12-30,34.4578
2020-12-18,31.8798
2020-05-28,28.2804
2020-02-21,25.0702
2020-05-14,29.1142
2020-11-06,35.3334
2020-11-12,36.0726
2020-06-22,33.8687
2020-01-17,26.6562
2020-01-03,28.8904
2020-08-27,41.5776
2020-04-27,43.8760
2020-03-12,62.3372
2020-03-06,40.4829
2020-03-13,49.9429
2020-01-02,28.8352
2020-08-26,41.0131
2020-01-16,0.0000
2020-06-23,34.5484
2020-11-13,34.5612
2020-11-11,35.1349
2020-11-05,36.9244
2020-08-18,36.6630
2020-01-28,26.6586
2020-08-24,37.5124
2020-06-09,29.8960
2020-01-14,27.4463
2020-04-30,44.1037
2020-04-24,44.8566
2020-03-05,40.1373
2020-03-11,47.2606
2020-03-10,42.9014
2020-03-04,32.4625
2020-01-15,27.6097
2020-08-31,40.6052
2020-06-08,26.6373
2020-08-25,38.8199
2020-01-29,27.2260
2020-08-19,36.3484
2020-11-04,39.0648
2020-11-10,38.3096
2020-08-21,35.4733
2020-06-18,30.8644
2020-06-30,39.2404
2020-06-24,37.6112
2020-04-09,36.0380
2020-04-21,54.3410
2020-04-20,52.4368
2020-04-08,36.6346
2019-12-31,26.4594
2020-06-25,36.6856
2020-06-19,31.0512
2020-01-10,27.4318
2020-08-20,34.5125
2020-11-03,43.6904
2020-11-17,32.7735
2020-01-06,29.3590
2020-03-17,62.0254
2020-03-03,38.7959
2020-04-22,48.7427
2020-04-23,47.9395
2020-03-02,34.1659
2020-03-16,67.7232
2020-06-26,39.9664
2020-01-07,28.9497
2020-01-13,27.1328
2020-11-16,32.6374
2020-11-02,44.9558
